name,screen_name,followers_count
defi-bags,Ape_y_Fi,1927
Sgt. Wxffles 🍌🐱,bo_gmnl,1581
FreddykilledCarusosMissingHair,CarusosHair,1034
Ape 2520 (Cody) 🍌👻👹,kryptickirby,1913
ApΞDogPaul,ApePaulGaultier,935
Cyber,oncyber_io,8373
Michael Saylor⚡️,michael_saylor,1458098
Big Boss 🍌🦍,BigBossNFT,2241
PrepsToThePros.eth,PrepsToThePros,3449
NonFungibleTim🍌,NonFungibleTim,987
Andreas,smems_,1315
Papa Ernesto 🍌,niftypins,1076
MrAxie HAVA,MrAxiee,14156
Jadyn 🍌,Jadynh85,942
0x0rtaz,nftcollector15,34809
theJudeAbides.eth 🇪🇹,sjude09,1183
Honey,baychoney,947
Adam Fisch,keepfischin,2461
ProofofSwag.Ξth,ProofSwag,916
shinny.eth,shinny427,2843
Jaknova,Jaknova1,1192
crk10.eth,crk_NFT_,989
Fresh,mrfreshasian,1106054
HΞLiX 🍌🦇🔊🇪🇹,0xHelix,1213
Don StClair 🍌,MonsieurMacD,890
bizzious.eth,bizzious,1770
Chris Rawk 🦍💀🥒,rawk_at,1264
Doktor Krabba,Doktorkrabba,1657
Carlini8,Carlini8N,6397
MetaPixels | Bored Ape #2219,metapixels_,1344
Metaverse Headquarters,Metaverse_HQ,6809
rootbear 🍌,root_bear_,995
Andy Booth,360,5321
Mixamix 🍌,CryptoGeri,820
MikΞ,mikedamazo,3039
Doc 🍌,doc4_f,816
nils116.eth,nils116,970
bobbyhundreds.eth,bobbyhundreds,89858
BonnieLass,BonnieLass88,1256
Tupac Shakpurr,JustSayMachin,1079
Street Bored Ape Yacht Club,StreetApeYC,1259
Bored Ape Ladies Club,BoredApeLadies,1194
John Watkinson,pents90,14479
Bharat Krymo,krybharat,16568
NFT Girl 🖼,NFTgirl,41411
FidelHashtro ⚔ 💎 🦅,FidelAl19,1167
Divine Order of the Zodiac,TheDivineZodiac,6922
Benjamin Penkert,bpenkert,2286
BIG DOG,MoonOverlord,139160
Kent Grimsrud,grimpak,1060
DesertMinter.eth 👽,DesertMinter,2706
Mike Segal,micsegal,1141
MartyNFTMcFly,MartyNFTMcFly,994
Your Next NFT,YourNextNFT,1080
Mxrk2036,Mark2036,1233
🍌 Wade 🍌,Ape1683,1000
Versus-Meta,VersusMeta,843
Mr. Fox,F4ntast1cMrF0x,1054
boredape93,boredape93,1629
pullparadox,pullparadox,874
Boris Vagner,BorisVagner,1100
Chicken Derby 🐣🐓🏁,bitlovincom,12370
MakersPlace,makersplaceco,66210
Kyokill 🏝️🥽🦾,kyokill_,3283
MomentRanks,MomentRanks,18117
Squirty.eth,uniqueNFT,1256
greggainorphoto🛸🛸👽,ggainor,1545
Pöe Ker 🍌”key”,I_thinkIcan,1259
Bored CP8876,kcjonesrodeo,1431
DV 🍌,ETHdv,2442
Ape with a Beanie 🍌,ApeWithaBeanie,799
JaznNft,JaznNft,877
Tyler Winklevoss,tyler,833841
TedsLittleDream,TedsLittleDream,5026
Bored Elon,BoredElonMusk,1752493
Alex🍌 Smart Contract Machine,JeramWong,1131
Claire Silver,ClaireSilver12,8539
TyronePost.eth 🍌😇🍌 (1C4RU5™),tyronepost801,1821
MarketCycles📈,JS_Marketcycles,940
Trent 🍌,mrt102,835
KnownOrigin.io,KnownOrigin_io,50640
Coinbase,coinbase,3051949
wahoo.eth,WahooPunk,728
Bloom Capital,BloomCapital_,8385
fivesixfivenine,fivesixfivenine,1241
Jordi Mora,JordiMoraArt,2296
Zac Franklin 🍌,zacfranklin,891
flyabstractart🌴🎹💎🎹🌴,flyabstractart,3772
egs5000🍌,cryptoETC,1052
Metavelliott,metavelliott,1789
BoredApeArtClub,BoredApeArtClub,1347
